Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
7140114,Quản lý giáo dục,D78; D14; D01; C00,26.03,
7140201,Giáo dục Mầm non,D96; D90; D72; D01,24.45,
7140202,Giáo dục Tiểu học,D96; D78; D72; D01,26.26,
7140204,Giáo dục Công dân,D84; D66; D78; D96,25.99,
7140206,Giáo dục Thể chất,T09; T10; T05; T08,24,
7140209,Sư phạm Toán học,A01; D07; D90; D01,26.5,
7140211,Sư phạm Vật lý,A01; D07; D90; D11,25.65,
7140217,Sư phạm Ngữ văn,D14; D15; D78; D01,26.58,
7140218,Sư phạm Lịch sử,D14; D09; D78; D96,26.18,
7220201,Ngôn ngữ Anh,D14; D15; D78; D01,26.1,
7220204,Ngôn ngữ Trung Quốc,D14; D15; D78; D01,26.25,
7229030,Văn học,D78; D14; D01; C00,27.08,
7229040,Văn hóa học,C00; C20; D01; D14,25.75,
7310201,Chính trị học,C00; D78; D66; D01,24.65,
7310401,Tâm lý học,D96; D14; D01; C00,26.63,
7310630,Việt Nam học,C00; D96; A00; D01,26.36,
7340101,Quản trị kinh doanh,C00; D96; A00; D01,26.62,
7340201,Tài chính - Ngân hàng,A00; A01; D01; D96,24.49,
7340403,Quản lý công,C00; D96; A00; D01,23.47,
7380101,Luật,C00; D78; D66; D01,26.5,
7460112,Toán ứng dụng,A01; A00; D07; D01,24.68,
7480201,Công nghệ thông tin,A01; A00; D07; D01,23.65,
7510406,Công nghệ kỹ thuật môi trường,A01; A00; D07; D01,18.9,
7510605,Logistics và quản lý chuỗi cung ứng,C00; D96; A00; D01,26.86,
7760101,Công tác xã hội,D78; D14; D01; C00,24.87,
7810103,Quản trị dịch vụ du lịch và lữ hành,D15; D78; D14; D01,24.88,
7810201,Quản trị khách sạn,D15; D78; D14; D01,24.8,
7850201,Bảo hộ lao động,A00; A01; D01; D07,26.5,
7140114,Quản lý giáo dục,D78; D14; D01; C00,27.39,
7140201,Giáo dục Mầm non,D96; D90; D72; D01,27.11,
7140206,Giáo dục Thể chất,T09; T10; T05; T08,22.4,
7140218,Sư phạm Lịch sử,D14; D09; D78; D96,28.6,
7220201,Ngôn ngữ Anh,D14; D15; D78; D01,27.9,
7220204,Ngôn ngữ Trung Quốc,D14; D15; D78; D01,27.7,
7229030,Văn học,D78; D14; D01; C00,27.84,
7229040,Văn hóa học,C00; C20; D01; D14,27,
7310201,Chính trị học,C00; D78; D66; D01,26.42,
7310401,Tâm lý học,D96; D14; D01; C00,27.5,
7310630,Việt Nam học,C00; D96; A00; D01,26.91,
7340101,Quản trị kinh doanh,C00; D96; A00; D01,27.49,
7340201,Tài chính - Ngân hàng,A00; A01; D01; D96,27.68,
7340403,Quản lý công,C00; D96; A00; D01,26.33,
7380101,Luật,C00; D78; D66; D01,27.3,
7460112,Toán ứng dụng,A01; A00; D07; D01,27.57,
7480201,Công nghệ thông tin,A01; A00; D07; D01,27,
7510406,Công nghệ kỹ thuật môi trường,A01; A00; D07; D01,17.1,
7510605,Logistics và quản lý chuỗi cung ứng,C00; D96; A00; D01,27.78,
7760101,Công tác xã hội,D78; D14; D01; C00,26.9,
7810103,Quản trị dịch vụ du lịch và lữ hành,D15; D78; D14; D01,26.81,
7810201,Quản trị khách sạn,D15; D78; D14; D01,26.62,
7850201,Bảo hộ lao động,A00; A01; D01; D07,27.5,
7140114,Quản lý giáo dục,,8,
7140201,Giáo dục Mầm non,,9,
7140202,Giáo dục Tiểu học,,9,
7140204,Giáo dục Công dân,,9,
7140209,Sư phạm Toán học,,9,
7140211,Sư phạm Vật lý,,9,
7140217,Sư phạm Ngữ văn,,9,
7140218,Sư phạm Lịch sử,,9,
7220201,Ngôn ngữ Anh,,9,
7220204,Ngôn ngữ Trung Quốc,,10,
7229030,Văn học,,9,
7229040,Văn hóa học,,8,
7310201,Chính trị học,,8,
7310401,Tâm lý học,,9,
7310630,Việt Nam học,,8,
7340101,Quản trị kinh doanh,,9,
7340201,Tài chính - Ngân hàng,,9,
7340403,Quản lý công,,8,
7380101,Luật,,8,
7460112,Toán ứng dụng,,9,
7480201,Công nghệ thông tin,,8,
7510406,Công nghệ kỹ thuật môi trường,,8,
7510605,Logistics và quản lý chuỗi cung ứng,,9,
7760101,Công tác xã hội,,8,
7810103,Quản trị dịch vụ du lịch và lữ hành,,9,
7810201,Quản trị khách sạn,,8,
7850201,Bảo hộ lao động,,9,
