Tên trường,Liên kết
Đại học Thủ Đô Hà Nội,/diem-chuan/dai-hoc-thu-do-ha-noi-HNM.html
Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-viet-han-dai-hoc-da-nang-VKU.html
Đại Học Công Nghệ Vạn Xuân,/diem-chuan/dai-hoc-cong-nghe-van-xuan-DVX.html
Đại Học Mỹ Thuật TPHCM,/diem-chuan/dai-hoc-my-thuat-tphcm-MTS.html
Đại Học Quang Trung,/diem-chuan/dai-hoc-quang-trung-DQT.html
Đại học Kỹ thuật Y Dược Đà Nẵng,/diem-chuan/dai-hoc-ky-thuat-y-duoc-da-nang-YDN.html
Đại học Văn hóa Nghệ thuật Quân đội,/diem-chuan/dai-hoc-van-hoa-nghe-thuat-quan-doi-ZNH.html
Đại Học Hải Dương,/diem-chuan/dai-hoc-hai-duong-DKT.html
Đại Học Sư Phạm TPHCM,/diem-chuan/dai-hoc-su-pham-tphcm-SPS.html
Học Viện Hành Chính Quốc Gia,/diem-chuan/hoc-vien-hanh-chinh-quoc-gia-HCH.html
Đại Học Lao Động – Xã Hội (Cơ sở Sơn Tây),/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-son-tay-DLT.html
Đại Học Lao Động – Xã Hội (Cơ sở Hà Nội),/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-ha-noi-DLX.html
Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,/diem-chuan/dai-hoc-kinh-te-ky-thuat-cong-nghiep-DKK.html
Đại Học Trà Vinh,/diem-chuan/dai-hoc-tra-vinh-DVT.html
Đại Học Phương Đông,/diem-chuan/dai-hoc-phuong-dong-DPD.html
Đại học Khoa học sức khỏe - Đại học Quốc Gia TPHCM,/diem-chuan/dai-hoc-khoa-hoc-suc-khoe-dai-hoc-quoc-gia-tphcm-QSY.html
Đại Học Đại Nam,/diem-chuan/dai-hoc-dai-nam-DDN.html
Đại Học Bạc Liêu,/diem-chuan/dai-hoc-bac-lieu-DBL.html
Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai,/diem-chuan/phan-hieu-dai-hoc-lam-nghiep-tai-dong-nai-LNS.html
Đại Học Luật Hà Nội,/diem-chuan/dai-hoc-luat-ha-noi-LPH.html
Đại Học Y Khoa Phạm Ngọc Thạch,/diem-chuan/dai-hoc-y-khoa-pham-ngoc-thach-TYS.html
Đại học Kinh Tế Nghệ An,/diem-chuan/dai-hoc-kinh-te-nghe-an-CEA.html
Đại Học Lương Thế Vinh,/diem-chuan/dai-hoc-luong-the-vinh-DTV.html
Đại học Thành Đô,/diem-chuan/dai-hoc-thanh-do-TDD.html
Đại Học Hà Hoa Tiên,/diem-chuan/dai-hoc-ha-hoa-tien-DHH.html
Đại Học Thái Bình,/diem-chuan/dai-hoc-thai-binh-DTB.html
"Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",/diem-chuan/dai-hoc-van-hoa-the-thao-va-du-lich-thanh-hoa-DVD.html
Đại Học Sư Phạm Hà Nội,/diem-chuan/dai-hoc-su-pham-ha-noi-SPH.html
Đại Học Y Tế Công Cộng,/diem-chuan/dai-hoc-y-te-cong-cong-YTC.html
Đại học Y Dược - Đại học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-y-duoc-dai-hoc-quoc-gia-ha-noi-QHY.html
Đại Học Ngoại Ngữ – Đại Học Đà Nẵng,/diem-chuan/dai-hoc-ngoai-ngu-dai-hoc-da-nang-DDF.html
