"id","university_name","program_code","program_name","subject_combination","admission_method","admission_score","note"
1,Đại học Thủ Đô Hà Nội,"7140114",Quản lý giáo dục,D78; D14; D01; C00,Điểm thi THPT năm 2024,26.03,""
2,Đại học Thủ Đô Hà Nội,"7140201",Giáo dục Mầm non,D96; D90; D72; D01,Điểm thi THPT năm 2024,24.45,""
3,Đại học Thủ Đô Hà Nội,"7140202",Giáo dục Tiểu học,D96; D78; D72; D01,Điểm thi THPT năm 2024,26.26,""
4,Đại học Thủ Đô Hà Nội,"7140204",Giáo dục Công dân,D84; D66; D78; D96,Điểm thi THPT năm 2024,25.99,""
5,Đại học Thủ Đô Hà Nội,"7140206",Giáo dục Thể chất,T09; T10; T05; T08,Điểm thi THPT năm 2024,24.0,""
6,Đại học Thủ Đô Hà Nội,"7140209",Sư phạm Toán học,A01; D07; D90; D01,Điểm thi THPT năm 2024,26.5,""
7,Đại học Thủ Đô Hà Nội,"7140211",Sư phạm Vật lý,A01; D07; D90; D11,Điểm thi THPT năm 2024,25.65,""
8,Đại học Thủ Đô Hà Nội,"7140217",Sư phạm Ngữ văn,D14; D15; D78; D01,Điểm thi THPT năm 2024,26.58,""
9,Đại học Thủ Đô Hà Nội,"7140218",Sư phạm Lịch sử,D14; D09; D78; D96,Điểm thi THPT năm 2024,26.18,""
10,Đại học Thủ Đô Hà Nội,"7220201",Ngôn ngữ Anh,D14; D15; D78; D01,Điểm thi THPT năm 2024,26.1,""
11,Đại học Thủ Đô Hà Nội,"7220204",Ngôn ngữ Trung Quốc,D14; D15; D78; D01,Điểm thi THPT năm 2024,26.25,""
12,Đại học Thủ Đô Hà Nội,"7229030",Văn học,D78; D14; D01; C00,Điểm thi THPT năm 2024,27.08,""
13,Đại học Thủ Đô Hà Nội,"7229040",Văn hóa học,C00; C20; D01; D14,Điểm thi THPT năm 2024,25.75,""
14,Đại học Thủ Đô Hà Nội,"7310201",Chính trị học,C00; D78; D66; D01,Điểm thi THPT năm 2024,24.65,""
15,Đại học Thủ Đô Hà Nội,"7310401",Tâm lý học,D96; D14; D01; C00,Điểm thi THPT năm 2024,26.63,""
16,Đại học Thủ Đô Hà Nội,"7310630",Việt Nam học,C00; D96; A00; D01,Điểm thi THPT năm 2024,26.36,""
17,Đại học Thủ Đô Hà Nội,"7340101",Quản trị kinh doanh,C00; D96; A00; D01,Điểm thi THPT năm 2024,26.62,""
18,Đại học Thủ Đô Hà Nội,"7340201",Tài chính - Ngân hàng,A00; A01; D01; D96,Điểm thi THPT năm 2024,24.49,""
19,Đại học Thủ Đô Hà Nội,"7340403",Quản lý công,C00; D96; A00; D01,Điểm thi THPT năm 2024,23.47,""
20,Đại học Thủ Đô Hà Nội,"7380101",Luật,C00; D78; D66; D01,Điểm thi THPT năm 2024,26.5,""
21,Đại học Thủ Đô Hà Nội,"7460112",Toán ứng dụng,A01; A00; D07; D01,Điểm thi THPT năm 2024,24.68,""
22,Đại học Thủ Đô Hà Nội,"7480201",Công nghệ thông tin,A01; A00; D07; D01,Điểm thi THPT năm 2024,23.65,""
23,Đại học Thủ Đô Hà Nội,"7510406",Công nghệ kỹ thuật môi trường,A01; A00; D07; D01,Điểm thi THPT năm 2024,18.9,""
24,Đại học Thủ Đô Hà Nội,"7510605",Logistics và quản lý chuỗi cung ứng,C00; D96; A00; D01,Điểm thi THPT năm 2024,26.86,""
25,Đại học Thủ Đô Hà Nội,"7760101",Công tác xã hội,D78; D14; D01; C00,Điểm thi THPT năm 2024,24.87,""
